movie_id,title,tagline
558,Spider-Man 2,"peter parker go major ident crisi . burn spider-man , decid shelv superhero alter ego , leav citi suffer wake carnag left evil doc ock . meantim , parker still ca n't act feel mari jane watson , girl 's love sinc childhood.act adventur fantasytobey maguir kirsten dunst jame franco r"
68721,Iron Man 3,"toni stark 's world torn apart formid terrorist call mandarin , start odyssey rebuild retribution.act adventur scienc fictionrobert downey jr. gwyneth paltrow cheadl h n e b l c k"
12155,Alice in Wonderland,"alic , unpretenti individu 19-year-old , betroth dunc english nobleman . engag parti , escap crowd consid whether go marriag fall hole garden spot unusu rabbit . arriv strang surreal place call 'underland , ' find world resembl nightmar child , fill talk anim , villain queen knight , frumiou bandersnatch . alic realiz reason – conquer horrif jabberwocki restor right queen throne.famili fantasi adventuremia wasikowska johnni depp ann hathawayt b u r n"
8373,Transformers: Revenge of the Fallen,"sam witwicki leav autobot behind normal life . mind fill cryptic symbol , decepticon target drag back transform ' war.scienc fiction action adventureshia labeouf megan fox josh duhamelm c h e l b"
91314,Transformers: Age of Extinction,"human pick piec , follow conclus `` transform : dark moon , '' autobot decepticon vanish face planet . howev , group power , ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond control - ancient , power transform menac set earth cross-hairs.sci fiction action adventuremark wahlberg stanley tucci kelsey grammerm c h e l b"
68728,Oz: The Great and Powerful,"oscar digg , small-tim circu illusionist con-artist , whisk kansa land oz inhabit assum 's great wizard propheci , save oz clutch evil.fantasi adventur familyjam franco mila kuni rachel weisz r"
102382,The Amazing Spider-Man 2,"peter parker , life busi . take bad guy spider-man spend time person love , gwen staci , high school graduat come quickli enough . peter forgotten promis made gwen ’ father protect stay away , promis keep . thing chang peter new villain , electro , emerg , old friend , harri osborn , return , peter uncov new clue past.act adventur fantasyandrew garfield emma stone jami foxxm r c w e b b"
20526,TRON: Legacy,"sam flynn , tech-savvi dare son kevin flynn , investig father 's disappear pull grid . help mysteri program name quorra , sam quest stop evil dictat clu cross real world.adventur action scienc fictiongarrett hedlund jeff bridg olivia wildej e p h k n k"
49013,Cars 2,star race car lightn mcqueen pal mater head oversea compet world grand prix race . road championship becom rocki mater get caught intrigu adventur : intern espionage.anim famili adventur comedyowen wilson larri cabl guy michael cainej h n l e e r
44912,Green Lantern,"centuri , small power forc warrior call green lantern corp sworn keep intergalact order . green lantern wear ring grant superpow . new enemi call parallax threaten destroy balanc power univers , fate fate earth lie hand first human ever recruited.adventur action thriller scienc fictionryan reynold blake live peter sarsgaardm r n c p b e l l"
10193,Toy Story 3,"woodi , buzz , rest andi 's toy n't play year . andi go colleg , gang find accident left nefari day care center . toy must band togeth escap return home andy.anim famili comedytom hank tim allen ned beattyl e e u n k r c h"
534,Terminator Salvation,"grown post-apocalypt 2018 , john connor must lead resist human increasingli domin militarist robot . marcu wright appear , exist confus mission connor tri determin whether wright come futur past -- whether 's friend foe.act scienc fiction thrillerchristian bale sam worthington anton yelchinm c g"
168259,Furious 7,deckard shaw seek reveng domin toretto famili comatos brother.actionvin diesel paul walker dwayn johnsonj e w n
72190,World War Z,"life former unit nation investig gerri lane famili seem content . suddenli , world plagu mysteri infect turn whole human popul rampag mindless zombi . bare escap chao , lane persuad go mission investig diseas . follow peril trek around world lane must brave horrif danger long odd find answer human civil falls.act drama horror scienc fiction thrillerbrad pitt mireil eno abigail hargrovem r c f r e r"
127585,X-Men: Days of Future Past,ultim x-men ensembl fight war surviv speci across two time period join forc younger selv epic battl must chang past – save future.act adventur fantasi scienc fictionhugh jackman jame mcavoy michael fassbenderb r n n g e r
81005,Jack the Giant Slayer,"stori ancient war reignit young farmhand unwittingli open gateway world fearsom race giant . unleash earth first time centuri , giant strive reclaim land lost , forc young man , jack battl life stop . fight kingdom , peopl , love brave princess , come face face unstopp warrior thought exist legend–and get chanc becom legend himself.act famili fantasynichola hoult eleanor tomlinson ewan mcgregorb r n n g e r"
9543,Prince of Persia: The Sands of Time,"rogu princ reluctantli join forc mysteri princess togeth , race dark forc safeguard ancient dagger capabl releas sand time – gift god revers time allow possessor rule world.adventur fantasi action romancejak gyllenha gemma arterton ben kingsleym k e n e w e l l"
68726,Pacific Rim,"legion monstrou creatur , known kaiju , start rise sea , war began would take million live consum human 's resourc year end . combat giant kaiju , special type weapon devis : massiv robot , call jaeger , control simultan two pilot whose mind lock neural bridg . even jaeger prove nearli defenseless face relentless kaiju . verg defeat , forc defend mankind choic turn two unlik heroes—a washed-up former pilot ( charli hunnam ) untest traine ( rinko kikuchi ) —who team drive legendari seemingli obsolet jaeger past . togeth , stand mankind 's last hope mount apocalypse.act scienc fiction adventureidri elba charli hunnam charli dayg u l l e r e l r"
38356,Transformers: Dark of the Moon,"sam witwicki take first tenuou step adulthood remain reluct human alli autobot-lead optimu prime . film center around space race ussr usa , suggest hidden transform role remain one planet 's danger secrets.act scienc fiction adventureshia labeouf john malkovich ken jeongm c h e l b"
217,Indiana Jones and the Kingdom of the Crystal Skull,"set cold war , soviet – led sword-wield irina spalko – search crystal skull supernatur power relat mystic lost citi gold . captur escap , indi coerc head peru behest young man whose friend – indi 's colleagu – professor oxley captur knowledg skull 's whereabouts.adventur actionharrison ford cate blanchett shia labeouf e v e n p e l b e r g"
105864,The Good Dinosaur,epic journey world dinosaur apatosauru name arlo make unlik human friend.adventur anim familyraymond ochoa jack bright jeffrey wrightp e e r h n
62177,Brave,"brave set mystic scottish highland , mérida princess kingdom rule king fergu queen elinor . unruli daughter accomplish archer , mérida one day defi sacr custom land inadvert bring turmoil kingdom . attempt set thing right , mérida seek eccentr old wise woman grant ill-fat wish . also figur mérida ’ quest — serv comic relief — kingdom ’ three lord : enorm lord macguffin , surli lord macintosh , disagre lord dingwall.anim adventur comedi famili action fantasykelli macdonald juli walter billi connollyb r e n c h p n"
10681,WALL·E,"wall· last robot left earth overrun garbag human fled outer space . 700 year continu tri clean mess , develop rather interest human-lik qualiti . ship arriv sleek new type robot , wall· think 's final found friend stow away ship leaves.anim familyben burtt elissa knight jeff garlina n r e w n n"
14161,2012,"dr. adrian helmsley , part worldwid geophys team investig effect earth radiat unpreced solar storm , learn earth 's core heat . warn u.s. presid thoma wilson crust earth becom unstabl without proper prepar save fraction world 's popul , entir race doom . meanwhil , writer jackson curti stumbl inform . world 's leader race build `` ark '' escap impend cataclysm , curti struggl find way save famili . meanwhil , volcan erupt earthquak unpreced strength wreak havoc around world.act adventur scienc fictionjohn cusack amanda peet chiwetel ejioforr l n e e r c h"
17979,A Christmas Carol,"miser ebenez scroog awaken christma eve spirit reveal miser exist , opportun wast youth , current cruelti , dire fate await chang way . scroog face stori grow bitter mean , must decid futur hold : death redemption.anim dramagari oldman jim carrey steve valentin b e r z e e c k"
76757,Jupiter Ascending,"univers human genet materi preciou commod , impoverish young earth woman becom key strateg maneuv intern strife within power dynasty…sci fiction fantasi action adventuremila kuni chan tatum sean beanl l l w c h w k"
258489,The Legend of Tarzan,"tarzan , acclim life london , call back former home jungl investig activ mine encampment.act adventurealexand skarsgård margot robbi christoph waltzd v e"
246655,X-Men: Apocalypse,"re-emerg world 's first mutant , world-destroy apocalyps , x-men must unit defeat extinct level plan.scienc fictionjam mcavoy michael fassbend jennif lawrenceb r n n g e r"
155,The Dark Knight,"batman rais stake war crime . help lt. jim gordon district attorney harvey dent , batman set dismantl remain crimin organ plagu street . partnership prove effect , soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker.drama action crime thrillerchristian bale heath ledger aaron eckhartc h r p h e r n l n"
15512,Monsters vs Aliens,"susan murphi unwittingli clobber meteor full outer space gunk wed day , mysteri grow 49-feet-11-inch . militari jump action captur susan , secret away covert govern compound . renam ginormica place confin ragtag group monster ... anim famili adventur scienc fictionseth rogen rees witherspoon hugh lauriec n r v e r n n"
1726,Iron Man,"held captiv afghan cave , billionair engin toni stark creat uniqu weapon suit armor fight evil.act scienc fiction adventurerobert downey jr. terrenc howard jeff bridgesj n f v r e u"
44826,Hugo,"hugo orphan boy live wall train station 1930 pari . learn fix clock gadget father uncl put use keep train station clock run . thing left connect dead father automaton ( mechan man ) n't work without special key hugo need find unlock secret believ contain . adventur , meet shopkeep , georg meli , work train station adventure-seek god-daught . hugo find surpris connect father automaton , discov unlock memori old man buri insid regard past.adventur drama familyben kingsley sacha baron cohen asa butterfieldm r n c r e e"
1735,The Mummy: Tomb of the Dragon Emperor,"archaeologist rick o'connel travel china , pit emperor 2,000-year-old han dynasti 's return dead pursu quest world domin . time , o'connel enlist help wife son quash so-cal 'dragon emperor ' abus supernatur power.adventur action fantasybrendan fraser jet li john hannahr b c h e n"
297761,Suicide Squad,"dc comic come suicid squad , antihero team incarcer supervillain act deniabl asset unit state govern , undertak high-risk black op mission exchang commut prison sentences.act adventur crime fantasi scienc fictionwil smith margot robbi joel kinnamand v e r"
2698,Evan Almighty,god contact congressman evan baxter tell build ark prepar great flood.fantasi comedi familystev carel lauren graham john goodmant h c
137113,Edge of Tomorrow,"major bill cage offic never seen day combat unceremoni demot drop combat . cage kill within minut , manag take alpha alien . awaken back begin day forc fight die ... - physic contact alien thrown time loop.act scienc fictiontom cruis emili blunt brendan gleesond u g l n"
14869,G.I. Joe: The Rise of Cobra,"egyptian desert deep polar ice cap , elit g.i . joe team use latest next-gener spi militari equip fight corrupt arm dealer destro grow threat mysteri cobra organ prevent plung world chaos.adventur action thriller scienc fictiondenni quaid chan tatum marlon wayanss e p h e n e r"
150540,Inside Out,"grow bumpi road , 's except riley , uproot midwest life father start new job san francisco . like us , riley guid emot - joy , fear , anger , disgust sad . emot live headquart , control center insid riley 's mind , help advis everyday life . riley emot struggl adjust new life san francisco , turmoil ensu headquart . although joy , riley 's main import emot , tri keep thing posit , emot conflict best navig new citi , hous school.drama comedi anim familyami poehler phylli smith richard kindp e e c e r"
10138,Iron Man 2,"world awar dual life armor superhero iron man , billionair inventor toni stark face pressur govern , press public share technolog militari . unwil let go invent , stark , pepper pott jame 'rhodey ' rhode side , must forg new allianc – confront power enemies.adventur action scienc fictionrobert downey jr. gwyneth paltrow cheadlej n f v r e u"
58595,Snow White and the Huntsman,"evil queen marri king , perform violent coup king murder daughter , snow white , taken captiv . almost decad later , grown snow white still clutch queen . order obtain immort , evil queen need heart snow white . snow escap castl , queen send huntsman find dark forest.adventur fantasi dramakristen stewart charliz theron chri hemsworthr u p e r n e r"
102651,Maleficent,"untold stori disney 's icon villain 1959 classic 'sleep beauti ' . beauti , pure-heart young woman , malefic idyl life grow peaceabl forest kingdom , one day invad armi threaten harmoni land . malefic rise land 's fiercest protector , ultim suffer ruthless betray – act begin turn heart stone . bent reveng , malefic face epic battl invad king 's successor , result , place curs upon newborn infant aurora . child grow , malefic realiz aurora hold key peac kingdom - malefic 's true happi well.fantasi adventur action famili romanceangelina joli ell fan sharlto copleyr b e r r b e r g"
119450,Dawn of the Planet of the Apes,"group scientist san francisco struggl stay aliv aftermath plagu wipe human , caesar tri maintain domin commun intellig apes.sci fiction action drama thrillerandi serki jason clark gari oldmanm r e e v e"
100402,Captain America: The Winter Soldier,"cataclysm event new york aveng , steve roger , aka captain america live quietli washington , d.c. tri adjust modern world . s.h.i.e.l.d . colleagu come attack , steve becom embroil web intrigu threaten put world risk . join forc black widow , captain america struggl expos ever-widen conspiraci fight profession assassin sent silenc everi turn . full scope villain plot reveal , captain america black widow enlist help new alli , falcon . howev , soon find unexpect formid enemy—th winter soldier.act adventur scienc fictionchri evan samuel l. jackson scarlett johanssona n h n r u"
10192,Shrek Forever After,"bore domest shrek pact deal-mak rumpelstiltskin get back feel like real ogr , 's dupe sent twist version far far away—wher rumpelstiltskin king , ogr hunt , fiona never met—h set restor world reclaim true love.comedi adventur fantasi anim familymik myer eddi murphi cameron diazm k e c h e l l"
158852,Tomorrowland,"bound share destini , bright , optimist teen burst scientif curios former boy-geniu inventor jade disillusion embark danger-fil mission unearth secret enigmat place somewher time space exist collect memori `` tomorrowland . `` adventur famili mysteri scienc fictionbritt robertson georg clooney raffey cassidyb r b r"
177572,Big Hero 6,"special bond develop plus-siz inflat robot baymax , prodigi hiro hamada , team group friend form band high-tech heroes.adventur famili anim action comedyscott adsit ryan potter daniel henneyc h r w l l"
82690,Wreck-It Ralph,"wreck-it ralph 9-foot-tal , 643-pound villain arcad video game name fix-it felix jr. , game 's titular hero fix build ralph destroy . want prove good guy villain , ralph escap game land hero 's duti , first-person shooter help game 's hero battl alien invad . later enter sugar rush , kart race game set track made candi , cooki sweet . , ralph meet vanellop von schweetz learn game face dire threat could affect entir arcad , one ralph may inadvert started.famili anim comedi adventurejohn c. reilli sarah silverman jack mcbrayerr c h r e"
47933,Independence Day: Resurgence,"alway knew come back . use recov alien technolog , nation earth collabor immens defens program protect planet . noth prepar us alien ’ advanc unpreced forc . ingenu brave men women bring world back brink extinction.act adventur scienc fictionliam hemsworth jeff goldblum bill pullmanr l n e e r c h"
10191,How to Train Your Dragon,"son vike leader cusp manhood , shi hiccup horrend haddock iii face rite passag : must kill dragon prove warrior mettl . down fear dragon , realiz longer want destroy , instead befriend beast – name toothless – much chagrin warrior fatherfantasi adventur anim familyjay baruchel gerard butler craig fergusonc h r n e r"
118340,Guardians of the Galaxy,"light year earth , 26 year abduct , peter quill find prime target manhunt discov orb want ronan accuser.act scienc fiction adventurechri pratt zoe saldana dave bautistaj e g u n n"
157336,Interstellar,interstellar chronicl adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyage.adventur drama scienc fictionmatthew mcconaughey jessica chastain ann hathawayc h r p h e r n l n
27205,Inception,"cobb , skill thief commit corpor espionag infiltr subconsci target offer chanc regain old life payment task consid imposs : `` incept '' , implant anoth person 's idea target 's subconscious.act thriller scienc fiction mysteri adventureleonardo dicaprio joseph gordon-levitt ellen pagec h r p h e r n l n"
49051,The Hobbit: An Unexpected Journey,"bilbo baggin , hobbit enjoy quiet life , swept epic quest gandalf grey thirteen dwarv seek reclaim mountain home smaug , dragon.adventur fantasi actionian mckellen martin freeman richard armitagep e e r j c k n"
4922,The Curious Case of Benjamin Button,"tell stori benjamin button , man start age backward bizarr consequences.fantasi drama thriller mysteri romancec blanchett brad pitt tilda swintond v f n c h e r"
49538,X-Men: First Class,"charl xavier erik lensherr took name professor x magneto , two young men discov power first time . arch-enemi , closest friend , work togeth mutant ( familiar , new ) , stop greatest threat world ever known.act scienc fiction adventurejam mcavoy michael fassbend jennif lawrencem h e w v u g h n"
131634,The Hunger Games: Mockingjay - Part 2,"nation panem full scale war , katniss confront presid snow final showdown . team group closest friend – includ gale , finnick , peeta – katniss goe mission unit district 13 risk live stage assassin attempt presid snow becom increasingli obsess destroy . mortal trap , enemi , moral choic await katniss challeng arena face hunger games.act adventur scienc fictionjennif lawrenc josh hutcherson liam hemsworthf r n c l w r e n c e"
27022,The Sorcerer's Apprentice,"balthazar blake master sorcer modern-day manhattan tri defend citi arch-nemesi , maxim horvath . balthazar ca n't alon , recruit dave stutler , seemingli averag guy demonstr hidden potenti , reluct protégé . sorcer give unwil accomplic crash cours art scienc magic , togeth , unlik partner work stop forc darkness.fantasi adventur action comedi dramanicola cage jay baruchel monica belluccij n u r e l u b"
503,Poseidon,"pack cruis ship travel atlant hit overturn massiv wave , compel passeng begin dramat fight lives.adventur action drama thrillerkurt russel richard dreyfuss josh lucasw l f g n g p e e r e n"
241259,Alice Through the Looking Glass,"sequel tim burton 's `` alic wonderland '' , alic kingsleigh return underland face new adventur save mad hatter.fantasyjohnni depp mia wasikowska ann hathawayj e b b n"
810,Shrek the Third,"king far far away die shrek fiona becom king & amp ; queen . howev , shrek want return cozi swamp live peac quiet , find anoth heir throne , set bring back rule kingdom.fantasi adventur anim comedi familymik myer eddi murphi cameron diazc h r l l e r"
68735,Warcraft,"peac realm azeroth stand brink war civil face fearsom race invad : orc warrior flee die home colon anoth . portal open connect two world , one armi face destruct face extinct . oppos side , two hero set collis cours decid fate famili , peopl , home.act adventur fantasypaula patton travi fimmel ben fosterd u n c n j n e"
87101,Terminator Genisys,"year 2029 . john connor , leader resist continu war machin . lo angel offens , john 's fear unknown futur begin emerg tecom spi reveal new plot skynet attack front ; past futur , ultim chang warfar forever.sci fiction action thriller adventurearnold schwarzenegg jason clark emilia clarkea l n l r"
1858,Transformers,"young teenag , sam witwicki becom involv ancient struggl two extraterrestri faction transform robot – heroic autobot evil decepticon . sam hold clue unimagin power decepticon stop noth retriev it.adventur scienc fiction actionshia labeouf josh duhamel megan foxm c h e l b"
675,Harry Potter and the Order of the Phoenix,"return fifth year studi hogwart , harri stun find warn return lord voldemort ignor . left choic , harri take matter hand , train small group student – dub 'dumbledor 's armi ' – defend dark arts.adventur fantasi famili mysterydaniel radcliff rupert grint emma watsond v e"
674,Harry Potter and the Goblet of Fire,"harri start fourth year hogwart , compet treacher triwizard tournament face evil lord voldemort . ron hermion help harri manag pressur – voldemort lurk , await chanc destroy harri stand for.adventur fantasi familydaniel radcliff rupert grint emma watsonm k e n e w e l l"
8960,Hancock,"hancock down-and-out superhero 's forc employ pr expert help repair imag public grow weari damag 's inflict lifesav heroic . agent 's idea imprison antihero make world miss prove success , hancock stick new sens purpos slip back old habit ? fantasi actionwil smith charliz theron jason batemanp e e r b e r g"
6479,I Am Legend,"robert nevil scientist unabl stop spread terribl viru incur man-mad . immun , nevil last human survivor left new york citi perhap world . three year , nevil faith sent daili radio messag , desper find survivor might . alone.drama horror action thriller scienc fictionwil smith alic braga charli tahanf r n c l w r e n c e"
118,Charlie and the Chocolate Factory,"young boy win tour magnific chocol factori world , led world 's unusu candi maker.adventur comedi famili fantasyjohnni depp freddi highmor david kellyt b u r n"
2062,Ratatouille,"rat name remi dream becom great french chef despit famili 's wish obviou problem rat decidedli rodent-phob profess . fate place remi sewer pari , find ideal situat beneath restaur made famou culinari hero , august gusteau . despit appar danger unlik - certainli unwant - visitor kitchen fine french restaur , remi 's passion cook soon set motion hilari excit rat race turn culinari world pari upsid down.anim comedi famili fantasypatton oswalt ian holm lou romanoj n p n k v"
272,Batman Begins,"driven tragedi , billionair bruce wayn dedic life uncov defeat corrupt plagu home , gotham citi . unabl work within system , instead creat new ident , symbol fear crimin underworld - batman.act crime dramachristian bale michael cain liam neesonc h r p h e r n l n"
10527,Madagascar: Escape 2 Africa,"alex , marti , melman , gloria , king julien , mauric , penguin chimp back still maroon madagascar . face obstacl , new yorker hatch plan crazi might work . militari precis , penguin repair old crash plane ... sort of.famili animationben stiller jada pinkett smith david schwimmer r c r n e l l"
18360,Night at the Museum: Battle of the Smithsonian,"hapless museum night watchman larri daley must help live , breath exhibit friend pickl 've transfer archiv smithsonian institut . larri 's ( mi ) adventur time includ close encount amelia earhart , abe lincoln ivan terrible.adventur fantasi action comedi familyben stiller ami adam owen wilson h w n l e v"
2080,X-Men Origins: Wolverine,"seek live normal life , logan set aveng death girlfriend undergo mutant weapon x program becom wolverine.adventur action thriller scienc fictionhugh jackman liev schreiber danni hustong v n h"
109445,Frozen,"young princess anna arendel dream find true love sister elsa ’ coron . fate take danger journey attempt end etern winter fallen kingdom . 's accompani ice deliveri man kristoff , reindeer sven , snowman olaf . adventur find friendship , courag , famili , true love realli means.anim adventur familykristen bell idina menzel jonathan groffc h r b u c k"
76338,Thor: The Dark World,"thor fight restor order across cosmos… ancient race led veng malekith return plung univers back dark . face enemi even odin asgard withstand , thor must embark peril person journey yet , one reunit jane foster forc sacrific everyth save us all.act adventur fantasychri hemsworth natali portman tom hiddlestona l n l r"
76341,Mad Max: Fury Road,"apocalypt stori set furthest reach planet , stark desert landscap human broken , everyon craze fight necess life . within world exist two rebel run might abl restor order . 's max , man action man word , seek peac mind follow loss wife child aftermath chao . furiosa , woman action woman believ path surviv may achiev make across desert back childhood homeland.act adventur scienc fiction thrillertom hardi charliz theron nichola houltg e r g e l l e r"
10195,Thor,"father odin 's , mighti thor - power arrog warrior god - recklessli reignit ancient war . thor cast earth forc live among human punish . , thor learn take true hero danger villain world send darkest forc asgard invad earth.adventur fantasi actionchri hemsworth natali portman tom hiddlestonk e n n e h b r n g h"
13053,Bolt,"bolt star biggest show hollywood . problem , think 's real . 's accident ship new york citi separ penni , belov co-star owner , bolt must har `` super power '' find way home.anim famili adventur comedyjohn travolta miley cyru susi essmanc h r w l l"
19585,G-Force,"team train secret agent anim , guinea pig darwin , juarez , blaster , mole speckl , fli mooch take mission us govern stop evil leonard saber , plan destroy world household applianc . govern shut sentenc pet shop . escap defeat villain save world ? fantasi action adventur famili comedysam rockwel penélop cruz traci morganh e n"
